pa_name,clip,PA,N,S,R,F,dataset
exploring_cairo.wav_141,exploring_cairo,35.85,25.5,1.15,0.36,0.86,teste
exploring_cairo.wav_142,exploring_cairo,43.1,34.75,1.33,0.25,0.42,teste
exploring_cairo.wav_143,exploring_cairo,44.89,35.05,1.21,0.09,0.68,teste
exploring_cairo.wav_144,exploring_cairo,38.82,30.54,1.2,0.36,0.18,teste
exploring_cairo.wav_145,exploring_cairo,25.46,19.66,1.11,0.32,0.19,teste
exploring_cairo.wav_146,exploring_cairo,31.55,24.91,1.14,0.33,0.02,teste
exploring_cairo.wav_147,exploring_cairo,49.03,34.9,1.07,0.45,0.7,teste
exploring_cairo.wav_148,exploring_cairo,31.21,23.44,0.97,0.38,0.01,teste
exploring_cairo.wav_149,exploring_cairo,45.3,34.88,1.11,0.32,0.17,teste
exploring_cairo.wav_150,exploring_cairo,41.47,30.77,1.1,0.29,0.59,teste
exploring_cairo.wav_151,exploring_cairo,30.2,24.12,1.24,0.43,0.0,teste
exploring_cairo.wav_152,exploring_cairo,30.08,24.15,1.19,0.32,0.01,teste
exploring_cairo.wav_153,exploring_cairo,46.42,37.39,1.29,0.07,0.62,teste
exploring_cairo.wav_154,exploring_cairo,50.95,36.17,1.42,0.44,1.2,teste
exploring_cairo.wav_155,exploring_cairo,51.34,42.41,1.35,0.2,0.33,teste
exploring_cairo.wav_156,exploring_cairo,32.59,27.68,1.38,0.27,0.03,teste
exploring_cairo.wav_157,exploring_cairo,46.69,35.28,1.24,0.24,0.82,teste
exploring_cairo.wav_158,exploring_cairo,57.19,40.76,1.33,0.22,1.49,teste
exploring_cairo.wav_159,exploring_cairo,32.52,25.59,1.15,0.37,0.01,teste
exploring_cairo.wav_160,exploring_cairo,49.49,34.47,0.95,0.22,1.02,teste
exploring_cairo.wav_161,exploring_cairo,54.62,43.16,1.2,0.21,0.3,teste
exploring_cairo.wav_162,exploring_cairo,52.88,41.67,1.24,0.43,0.14,teste
exploring_cairo.wav_163,exploring_cairo,46.24,35.68,1.13,0.42,0.09,teste
exploring_cairo.wav_164,exploring_cairo,53.41,40.64,1.26,0.53,0.39,teste
exploring_cairo.wav_165,exploring_cairo,46.23,36.41,1.4,0.59,0.21,teste
exploring_cairo.wav_166,exploring_cairo,35.94,25.76,1.33,0.4,0.92,teste
exploring_cairo.wav_167,exploring_cairo,40.25,34.2,1.4,0.32,0.01,teste
exploring_cairo.wav_168,exploring_cairo,45.62,35.2,1.28,0.05,0.98,teste
exploring_cairo.wav_169,exploring_cairo,49.73,38.26,1.3,0.19,0.86,teste
exploring_cairo.wav_170,exploring_cairo,43.31,39.72,1.65,0.24,0.03,teste
exploring_cairo.wav_171,exploring_cairo,52.39,39.88,1.65,0.46,0.86,teste
exploring_cairo.wav_172,exploring_cairo,52.12,40.18,1.26,0.16,0.83,teste
exploring_cairo.wav_173,exploring_cairo,43.34,34.8,1.23,0.05,0.48,teste
exploring_cairo.wav_174,exploring_cairo,51.97,41.8,1.25,0.15,0.37,teste
exploring_cairo.wav_175,exploring_cairo,33.66,26.45,1.14,0.38,0.0,teste
exploring_cairo.wav_176,exploring_cairo,45.59,38.57,1.43,0.25,0.24,teste
exploring_cairo.wav_177,exploring_cairo,42.47,31.17,1.34,0.3,1.01,teste
exploring_cairo.wav_178,exploring_cairo,52.33,43.29,1.28,0.06,0.19,teste
exploring_cairo.wav_179,exploring_cairo,49.89,40.71,1.27,0.04,0.44,teste
exploring_cairo.wav_180,exploring_cairo,45.47,36.44,1.27,0.08,0.58,teste
exploring_cairo.wav_181,exploring_cairo,46.28,38.75,1.38,0.16,0.35,teste
exploring_cairo.wav_182,exploring_cairo,46.99,38.88,1.36,0.39,0.05,teste
exploring_cairo.wav_183,exploring_cairo,33.3,26.72,1.33,0.4,0.18,teste
exploring_cairo.wav_184,exploring_cairo,37.73,30.21,1.26,0.43,0.03,teste
exploring_cairo.wav_185,exploring_cairo,45.15,38.1,1.36,0.15,0.2,teste
exploring_cairo.wav_186,exploring_cairo,31.93,25.0,1.22,0.51,0.01,teste
exploring_cairo.wav_187,exploring_cairo,51.52,39.33,1.3,0.13,1.02,teste
exploring_cairo.wav_188,exploring_cairo,42.03,34.92,1.49,0.23,0.48,teste
exploring_cairo.wav_189,exploring_cairo,40.27,23.02,1.63,1.36,0.97,teste
exploring_cairo.wav_190,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_191,exploring_cairo,0.0,0.0,0.0,0.0,0.0,teste
exploring_cairo.wav_192,exploring_cairo,10.59,8.25,1.23,0.36,0.07,teste
exploring_cairo.wav_193,exploring_cairo,51.92,40.45,1.27,0.18,0.71,teste
exploring_cairo.wav_194,exploring_cairo,46.46,35.59,1.16,0.36,0.33,teste
exploring_cairo.wav_195,exploring_cairo,47.07,36.75,1.15,0.23,0.25,teste
exploring_cairo.wav_196,exploring_cairo,32.46,26.5,1.22,0.23,0.02,teste
exploring_cairo.wav_197,exploring_cairo,37.89,28.13,1.34,0.36,0.8,teste
exploring_cairo.wav_198,exploring_cairo,44.64,36.25,1.26,0.08,0.41,teste
exploring_cairo.wav_199,exploring_cairo,46.92,38.81,1.29,0.07,0.28,teste
exploring_cairo.wav_200,exploring_cairo,42.56,33.56,1.14,0.08,0.35,teste
exploring_cairo.wav_201,exploring_cairo,45.69,33.59,1.22,0.14,1.13,teste
exploring_cairo.wav_202,exploring_cairo,27.34,22.32,1.25,0.3,0.03,teste
exploring_cairo.wav_203,exploring_cairo,46.16,34.99,1.15,0.05,0.88,teste
exploring_cairo.wav_204,exploring_cairo,38.75,27.25,1.19,0.2,1.25,teste
exploring_cairo.wav_205,exploring_cairo,46.98,38.23,1.33,0.13,0.51,teste
exploring_cairo.wav_206,exploring_cairo,48.16,35.89,1.19,0.05,1.13,teste
exploring_cairo.wav_207,exploring_cairo,41.93,31.47,1.31,0.07,1.17,teste
exploring_cairo.wav_208,exploring_cairo,48.56,38.23,1.29,0.22,0.6,teste
exploring_cairo.wav_209,exploring_cairo,48.8,37.82,1.3,0.13,0.88,teste
exploring_cairo.wav_210,exploring_cairo,36.86,28.21,1.2,0.33,0.44,teste
exploring_cairo.wav_211,exploring_cairo,43.97,34.22,1.19,0.19,0.52,teste
exploring_cairo.wav_212,exploring_cairo,35.49,27.93,1.21,0.41,0.1,teste
exploring_cairo.wav_213,exploring_cairo,49.08,38.64,1.22,0.19,0.45,teste
exploring_cairo.wav_214,exploring_cairo,47.22,35.0,1.18,0.26,0.83,teste
exploring_cairo.wav_215,exploring_cairo,41.73,33.02,1.13,0.15,0.1,teste
exploring_cairo.wav_216,exploring_cairo,50.24,38.44,1.22,0.09,0.91,teste
exploring_cairo.wav_217,exploring_cairo,38.61,30.7,1.18,0.34,0.02,teste
exploring_cairo.wav_218,exploring_cairo,46.71,37.6,1.26,0.25,0.26,teste
exploring_cairo.wav_219,exploring_cairo,44.08,34.99,1.22,0.23,0.31,teste
exploring_cairo.wav_220,exploring_cairo,35.24,27.24,1.14,0.28,0.33,teste
exploring_cairo.wav_221,exploring_cairo,45.26,34.15,1.33,0.34,0.78,teste
exploring_cairo.wav_222,exploring_cairo,42.5,32.68,1.31,0.46,0.42,teste
exploring_cairo.wav_223,exploring_cairo,31.14,24.92,1.34,0.52,0.03,teste
exploring_cairo.wav_224,exploring_cairo,41.26,34.12,1.43,0.5,0.01,teste
exploring_cairo.wav_225,exploring_cairo,49.26,36.52,1.39,0.2,1.22,teste
exploring_cairo.wav_226,exploring_cairo,50.15,36.71,1.31,0.37,0.98,teste
exploring_cairo.wav_227,exploring_cairo,54.05,43.17,1.39,0.18,0.77,teste
exploring_cairo.wav_228,exploring_cairo,46.34,37.03,1.27,0.11,0.57,teste
exploring_cairo.wav_229,exploring_cairo,47.48,39.48,1.37,0.27,0.22,teste
exploring_cairo.wav_230,exploring_cairo,37.01,25.52,1.19,0.37,1.09,teste
exploring_cairo.wav_231,exploring_cairo,44.35,35.34,1.38,0.39,0.39,teste
exploring_cairo.wav_232,exploring_cairo,32.97,21.86,1.14,0.37,1.23,teste
exploring_cairo.wav_233,exploring_cairo,50.64,39.75,1.36,0.15,0.87,teste
exploring_cairo.wav_234,exploring_cairo,56.28,40.85,1.27,0.15,1.37,teste
exploring_cairo.wav_235,exploring_cairo,41.47,32.18,1.27,0.38,0.4,teste
exploring_cairo.wav_236,exploring_cairo,39.13,32.55,1.29,0.22,0.01,teste
exploring_cairo.wav_237,exploring_cairo,43.64,36.62,1.34,0.22,0.09,teste
exploring_cairo.wav_238,exploring_cairo,39.34,30.61,1.18,0.4,0.17,teste
exploring_cairo.wav_239,exploring_cairo,45.13,34.63,1.16,0.36,0.3,teste
exploring_cairo.wav_240,exploring_cairo,44.26,34.99,1.25,0.17,0.53,teste
exploring_cairo.wav_241,exploring_cairo,48.12,35.79,1.21,0.06,1.16,teste
exploring_cairo.wav_242,exploring_cairo,46.88,36.32,1.24,0.05,0.88,teste
exploring_cairo.wav_243,exploring_cairo,48.45,34.05,1.27,0.54,0.95,teste
exploring_cairo.wav_244,exploring_cairo,49.46,39.53,1.35,0.28,0.5,teste
exploring_cairo.wav_245,exploring_cairo,33.15,26.2,1.35,0.52,0.13,teste
exploring_cairo.wav_246,exploring_cairo,48.72,38.63,1.21,0.03,0.57,teste
exploring_cairo.wav_247,exploring_cairo,54.0,41.22,1.26,0.03,1.13,teste
exploring_cairo.wav_248,exploring_cairo,61.15,38.58,1.25,0.94,1.3,teste
exploring_cairo.wav_249,exploring_cairo,51.72,43.24,1.31,0.05,0.16,teste
exploring_cairo.wav_250,exploring_cairo,54.79,44.65,1.3,0.07,0.48,teste
exploring_cairo.wav_251,exploring_cairo,36.89,28.2,1.17,0.27,0.49,teste
exploring_cairo.wav_252,exploring_cairo,32.47,25.41,1.08,0.23,0.06,teste
exploring_cairo.wav_253,exploring_cairo,49.67,38.13,1.19,0.08,0.81,teste
exploring_cairo.wav_254,exploring_cairo,29.64,23.1,1.24,0.37,0.27,teste
exploring_cairo.wav_255,exploring_cairo,51.99,41.58,1.25,0.19,0.36,teste
exploring_cairo.wav_256,exploring_cairo,50.7,40.31,1.2,0.07,0.46,teste
exploring_cairo.wav_257,exploring_cairo,47.9,34.28,1.31,0.31,1.21,teste
exploring_cairo.wav_258,exploring_cairo,48.95,38.9,1.25,0.08,0.61,teste
exploring_cairo.wav_259,exploring_cairo,46.44,38.07,1.28,0.11,0.33,teste
exploring_cairo.wav_260,exploring_cairo,33.15,25.95,1.47,0.12,0.9,teste
exploring_cairo.wav_261,exploring_cairo,52.8,41.2,1.31,0.16,0.83,teste
exploring_cairo.wav_262,exploring_cairo,32.02,26.15,1.34,0.37,0.11,teste
exploring_cairo.wav_263,exploring_cairo,44.27,35.08,1.19,0.14,0.36,teste
exploring_cairo.wav_264,exploring_cairo,45.0,38.66,1.51,0.09,0.49,teste
exploring_cairo.wav_265,exploring_cairo,43.73,34.19,1.49,0.42,0.59,teste
exploring_cairo.wav_266,exploring_cairo,30.52,23.77,1.2,0.25,0.39,teste
exploring_cairo.wav_267,exploring_cairo,51.09,38.37,1.61,0.15,1.39,teste
exploring_cairo.wav_268,exploring_cairo,39.42,32.54,1.29,0.18,0.19,teste
exploring_cairo.wav_269,exploring_cairo,48.73,39.84,1.28,0.16,0.27,teste
exploring_cairo.wav_270,exploring_cairo,50.62,40.69,1.25,0.07,0.52,teste
exploring_cairo.wav_271,exploring_cairo,47.26,36.19,1.15,0.08,0.74,teste
exploring_cairo.wav_272,exploring_cairo,34.02,24.77,1.19,0.21,0.95,teste
exploring_cairo.wav_273,exploring_cairo,47.8,39.35,1.34,0.1,0.47,teste
exploring_cairo.wav_274,exploring_cairo,35.04,27.44,1.23,0.31,0.35,teste
exploring_cairo.wav_275,exploring_cairo,34.61,28.06,1.19,0.18,0.07,teste
exploring_cairo.wav_276,exploring_cairo,35.18,29.62,1.31,0.2,0.0,teste
exploring_cairo.wav_277,exploring_cairo,32.08,28.16,1.43,0.17,0.01,teste
exploring_cairo.wav_278,exploring_cairo,47.49,37.5,1.2,0.15,0.44,teste
exploring_cairo.wav_279,exploring_cairo,45.67,36.49,1.31,0.14,0.63,teste
exploring_cairo.wav_280,exploring_cairo,49.2,38.01,1.23,0.13,0.77,teste
exploring_cairo.wav_281,exploring_cairo,15.49,6.73,2.24,1.3,1.24,teste
exploring_cairo.wav_282,exploring_cairo,9.9,0.09,0.77,32.27,0.29,teste
exploring_cairo.wav_283,exploring_cairo,41.78,32.94,1.25,0.22,0.48,teste
exploring_cairo.wav_284,exploring_cairo,51.55,39.07,1.3,0.18,1.0,teste
exploring_cairo.wav_285,exploring_cairo,47.84,33.7,1.16,0.15,1.38,teste
exploring_cairo.wav_286,exploring_cairo,30.21,23.5,1.17,0.48,0.0,teste
exploring_cairo.wav_287,exploring_cairo,43.44,34.7,1.21,0.13,0.34,teste
exploring_cairo.wav_288,exploring_cairo,37.76,22.95,1.58,0.33,2.09,teste
exploring_cairo.wav_289,exploring_cairo,25.0,20.8,1.29,0.28,0.0,teste
exploring_cairo.wav_290,exploring_cairo,26.81,21.48,1.26,0.32,0.18,teste
exploring_cairo.wav_291,exploring_cairo,44.34,33.1,1.39,0.1,1.27,teste
exploring_cairo.wav_292,exploring_cairo,27.95,23.36,1.32,0.27,0.03,teste
exploring_cairo.wav_293,exploring_cairo,48.76,38.93,1.24,0.15,0.41,teste
exploring_cairo.wav_294,exploring_cairo,54.27,39.27,1.34,0.27,1.28,teste
exploring_cairo.wav_295,exploring_cairo,48.6,35.83,1.2,0.42,0.69,teste
exploring_cairo.wav_296,exploring_cairo,44.08,35.48,1.28,0.3,0.23,teste
exploring_cairo.wav_297,exploring_cairo,45.79,32.35,1.15,0.54,0.75,teste
exploring_cairo.wav_298,exploring_cairo,43.42,33.19,1.21,0.32,0.51,teste
exploring_cairo.wav_299,exploring_cairo,25.38,20.58,1.48,0.42,0.18,teste
exploring_cairo.wav_300,exploring_cairo,23.65,19.1,1.18,0.28,0.01,teste
exploring_cairo.wav_301,exploring_cairo,40.21,34.92,1.44,0.13,0.2,teste
exploring_cairo.wav_302,exploring_cairo,33.34,25.47,1.24,0.29,0.57,teste
exploring_cairo.wav_303,exploring_cairo,51.53,32.52,1.24,0.06,2.43,teste
exploring_cairo.wav_304,exploring_cairo,31.89,17.25,1.45,0.51,2.25,teste
exploring_cairo.wav_305,exploring_cairo,43.75,25.83,1.12,1.02,1.21,teste
exploring_cairo.wav_306,exploring_cairo,22.47,17.52,1.17,0.41,0.07,teste
exploring_cairo.wav_307,exploring_cairo,48.79,30.99,1.17,0.59,1.49,teste
exploring_cairo.wav_308,exploring_cairo,51.03,33.74,1.25,0.85,0.93,teste
exploring_cairo.wav_309,exploring_cairo,44.34,32.32,1.21,0.11,1.21,teste
exploring_cairo.wav_310,exploring_cairo,38.66,30.76,1.4,0.51,0.21,teste
exploring_cairo.wav_311,exploring_cairo,21.68,17.57,1.22,0.31,0.02,teste
exploring_cairo.wav_312,exploring_cairo,50.64,38.76,1.26,0.15,0.91,teste
exploring_cairo.wav_313,exploring_cairo,35.64,27.11,1.25,0.04,1.0,teste
exploring_cairo.wav_314,exploring_cairo,46.02,34.15,1.34,0.17,1.17,teste
exploring_cairo.wav_315,exploring_cairo,48.82,32.48,1.36,0.05,2.12,teste
exploring_cairo.wav_316,exploring_cairo,31.29,22.45,1.17,0.12,1.12,teste
exploring_cairo.wav_317,exploring_cairo,22.45,17.77,1.19,0.4,0.0,teste
